name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s) [31 Oct 2013 u32 n]
fannkuch-redux,ATS,2,10,1571,0.324,288,0,0% 0% 6% 100%,0.329
fannkuch-redux,ATS,2,11,1571,4.124,288,0,0% 1% 0% 100%,4.128
fannkuch-redux,ATS,2,12,1571,57.804,288,0,0% 0% 0% 100%,57.821
fannkuch-redux,Pascal Free Pascal,1,10,1018,0.392,328,0,0% 3% 3% 100%,0.396
fannkuch-redux,Pascal Free Pascal,1,11,1018,4.804,732,0,0% 0% 1% 100%,4.809
fannkuch-redux,Pascal Free Pascal,1,12,1018,65.328,744,0,0% 0% 0% 100%,65.348
fannkuch-redux,OCaml,2,10,473,0.428,596,0,0% 0% 5% 100%,0.432
fannkuch-redux,OCaml,2,11,473,5.356,596,0,0% 2% 0% 100%,5.362
fannkuch-redux,OCaml,2,12,473,71.096,596,0,0% 0% 0% 100%,71.119
fannkuch-redux,Clojure,2,10,1088,13.332,73100,0,0% 0% 0% 100%,13.348
fannkuch-redux,Clojure,2,11,1088,30.984,73408,0,0% 1% 0% 100%,31.008
fannkuch-redux,Clojure,2,12,1088,277.240,69084,0,0% 0% 0% 100%,277.398
fannkuch-redux,Erlang HiPE,1,10,1038,2.524,7392,0,8% 0% 0% 100%,2.532
fannkuch-redux,Erlang HiPE,1,11,1038,29.630,7392,0,0% 0% 0% 100%,29.647
fannkuch-redux,Erlang HiPE,1,12,1038,379.680,7644,0,0% 0% 0% 100%,379.795
fannkuch-redux,Ruby 2.0,1,10,384,20.352,4748,0,0% 1% 0% 100%,20.362
fannkuch-redux,Ruby 2.0,1,11,384,278.124,4748,0,0% 0% 0% 100%,278.227
fannkuch-redux,Ruby 2.0,1,12,384,4082.540,4740,0,0% 0% 0% 100%,4083.987
fannkuch-redux,C# Mono,2,10,564,0.416,14632,0,0% 2% 2% 100%,0.419
fannkuch-redux,C# Mono,2,11,564,4.056,14632,0,0% 0% 1% 100%,4.063
fannkuch-redux,C# Mono,2,12,564,55.196,14640,0,0% 0% 1% 100%,55.217
fannkuch-redux,C CINT,1,10,536,64.112,5120,0,1% 0% 0% 100%,64.131
fannkuch-redux,C CINT,1,11,536,820.819,5120,0,0% 0% 0% 100%,820.975
fannkuch-redux,C CINT,1,12,536,10672.151,5116,0,0% 0% 0% 100%,10674.258
fannkuch-redux,C++ g++,7,10,1150,0.176,0,0,11% 0% 5% 100%,0.181
fannkuch-redux,C++ g++,7,11,1150,2.100,292,0,1% 2% 4% 100%,2.106
fannkuch-redux,C++ g++,7,12,1150,27.220,296,0,1% 0% 0% 100%,27.231
